Fname,Minit,Lname,Ssn,Bdate,Address,Sex,Salary,Dno
Tarra,B,Dolder,761-46-5275,1980-12-17,2 Kenwood Place,F,37000,12
Berkie,,Sisland,635-33-4447,1983-03-09,1778 Springs Center,M,35000,10
Tanitansy,L,Fumagall,367-16-4285,1984-07-26,376 David Road,F,61000,10
Valencia,A,Solomon,202-44-4430,1991-03-28,725 Gateway Way,F,25000,10
Ferne,A,Pizey,125-20-4960,1996-04-08,9 La Follette Terrace,F,38000,15
Bailie,N,Normanvell,351-83-1885,1962-09-10,4426 Bay Pass,M,36000,10
Blondell,P,Swetland,292-57-3050,1976-03-31,73 Upham Point,F,30000,4
Leslie,A,Grunwall,339-12-9063,1983-06-16,38801 Kingsford Drive,M,38000,24
Sacha,D,Matten,672-23-1976,1988-01-30,371 Southridge Parkway,F,38000,12
Julianna,M,Neilan,282-36-3150,1975-12-17,4752 Swallow Street,F,58000,46
Zorah,H,Noteyoung,753-34-3029,1988-10-25,87321 Gale Place,F,94000,10
Lacey,K,Plank,360-27-0155,1977-08-19,34726 Veith Way,F,32000,18
Stevie,B,Hemms,412-96-4375,1971-11-07,4 Upham Street,M,34000,32
Porter,,Pydcock,497-07-7799,1997-04-25,91 Monica Alley,M,50000,11
Laney,,Rubery,222-45-9644,1983-11-28,1 Kings Way,M,37000,17
Nanice,D,Durling,493-12-6286,1995-05-16,73094 Rieder Circle,F,69000,12
Vittorio,G,Benedikt,107-94-5176,1979-01-05,70243 Nevada Drive,M,58000,3
Ketti,C,Plevin,644-67-4307,1980-12-17,2386 Hayes Crossing,F,83000,22
Waylen,A,Fakes,781-89-0837,1989-07-05,045 Redwing Court,M,44000,20
Linzy,F,O'Carrol,329-94-5520,1992-03-12,3 Kings Way,F,94000,10
Tadd,G,Cail,240-42-3470,1991-05-12,8 Tennyson Avenue,M,45000,11
Aubrie,C,Kornyakov,550-35-2675,1961-07-05,55 Helena Place,F,30000,37
Renate,K,Assante,720-61-9683,1978-04-08,71 Autumn Leaf Court,F,25000,6
Gratia,D,Eddicott,580-43-6947,1994-08-02,870 Montana Plaza,F,75000,6
Job,H,Cowey,136-64-3994,1971-07-08,8812 Service Way,M,83000,8
Panchito,P,Retchford,700-28-0537,1981-09-12,7303 Debs Trail,M,34000,1
Joyous,S,Wheeler,511-04-8521,1992-09-27,4156 West Lane,F,59000,6
Viva,R,Loram,875-16-0671,1975-09-23,930 Tennyson Alley,F,39000,2
Gustave,,Bellchamber,645-63-8473,1975-06-21,8 Stone Corner Way,M,36000,10
Ashien,D,Rittelmeyer,303-49-6443,1992-01-08,5574 Westport Street,F,77000,27
Clement,T,Vassbender,304-92-8978,1960-04-14,442 Mariners Cove Place,M,63000,3
Marshall,H,Rivitt,297-10-6102,1962-05-06,19 Michigan Point,M,72000,18
Bevan,O,Simonassi,487-88-6727,1979-10-18,893 Swallow Avenue,M,70000,18
Egon,F,Carlaw,341-81-2154,1965-03-29,72 Tony Parkway,M,60000,19
Francoise,,Kitcherside,768-71-5312,1987-02-23,8 Namekagon Way,F,94000,11
Rolfe,,Willshee,506-15-7404,1997-06-17,1674 Mayfield Plaza,M,42000,10
Beau,I,Guitt,792-67-9651,1969-04-01,0 Pond Pass,M,85000,18
